sex,country,year,suicide,population,total_gdp,suicides_per_100k,gdp_per_capita
female,Belarus,2006,477.0,4971039.0,230489986144.5,9.595579515670668,46366.561627156814
female,Belarus,2007,456.0,4951385.0,271664398884.0,9.209544400203177,54866.345251682105
female,Belarus,2008,471.0,4933394.0,364580898876.0,9.547179892787804,73900.62477799259
female,Belarus,2009,505.0,4916448.0,295257142860.0,10.271643267659904,60054.97116210728
female,Belarus,2010,390.0,4830090.0,343334944614.0,8.074383707135892,71082.51494568425
female,Belarus,2011,380.0,4814895.0,370546733670.0,7.892176257218486,76958.4245700062
female,Belarus,2012,357.0,4805964.5,411857319537.0,7.428269601242373,85697.12063769926
female,Belarus,2013,334.0,4797034.0,453167905404.0,6.962635661952781,94468.3538628244
female,Belarus,2014,276.0,4794032.0,472883039904.0,5.757158066529385,98639.94230826995
female,Belarus,2015,276.0,4794032.0,472883039904.0,5.757158066529385,98639.94230826995
female,Belarus,2016,276.0,4794032.0,472883039904.0,5.757158066529385,98639.94230826995
female,Belgium,1985,759.0,4759700.0,520380232758.0,15.946383175410215,109330.46888627435
female,Belgium,1986,714.0,4767700.0,723967322016.0,14.975774482454854,151848.33819577575
female,Belgium,1987,695.0,4769600.0,901164466128.0,14.571452532707145,188939.21212009393
female,Belgium,1988,643.0,4782600.0,979007121228.0,13.444569899218,204701.8611692385
female,Belgium,1989,582.0,4796700.0,990600567570.0,12.133341672399775,206517.09874914004
female,Belgium,1990,592.0,4806000.0,1238585049012.0,12.31793591344153,257716.40636953808
female,Belgium,1991,527.0,4818100.0,1269826899234.0,10.93792158734771,263553.45452232205
female,Belgium,1992,565.0,4832700.0,1416230306652.0,11.691187121071037,293051.56675398845
female,Belgium,1993,590.0,4849300.0,1355548079526.0,12.166704472810508,279534.79461489286
female,Belgium,1994,588.0,4865900.0,1477169632506.0,12.084095439692554,303575.830269015
female,Belgium,1995,605.0,4882300.0,1737403940886.0,12.391700632898429,355857.6779153268
female,Belgium,1996,555.0,4898542.0,1688149055376.0,11.329901836097354,344622.7582362262
female,Belgium,1997,595.0,4907982.0,1528881596754.0,12.123108845957463,311509.21025260485
female,Belgium,1998,557.0,4930419.0,1563611469216.0,11.297214293551928,317135.6165096719
female,Belgium,1999,496.0,4943885.0,1561214574900.0,10.032595822920637,315786.9923956565
female,Belgium,2000,617.0,4956727.0,1427429519070.0,12.447730125141046,287978.24029243493
female,Belgium,2001,583.0,4974251.0,1427051812080.0,11.720357497038247,286887.77709046047
female,Belgium,2002,579.0,4997263.0,1553162619990.0,11.58634236380995,310802.6573726458
female,Belgium,2003,554.0,5019283.0,1914016930020.0,11.03743303575431,381332.73816598905
female,Belgium,2004,537.0,5041684.0,2225310156444.0,10.651203050409347,441382.3152034122
female,Belgium,2005,552.0,5068873.0,2324194503174.0,10.889994679290643,458522.93067393877
female,Belgium,2006,540.0,5099439.0,2458879187052.0,10.589400128131741,482186.2144153504
female,Belgium,2007,537.0,5131909.0,2830926635640.0,10.463942365306945,551632.2747811779
female,Belgium,2008,547.0,5165996.0,3111755383038.0,10.58847122607141,602353.4247873982
female,Belgium,2009,554.0,5201848.0,2907316754652.0,10.650061285912237,558900.751166124
female,Belgium,2010,563.0,5220704.0,2901288187182.0,10.783986221015404,555727.3860349102
female,Belgium,2011,600.0,5283592.0,3162050723322.0,11.355910903037177,598466.1047488148
female,Belgium,2012,541.0,5324724.0,2987305299414.0,10.160151023790153,561025.3788579465
female,Belgium,2013,532.0,5362716.0,3125552813718.0,9.920346331970592,582830.1953185662
female,Belgium,2014,561.0,5389207.0,3184625865804.0,10.409694784408911,590926.6179243069
female,Belgium,2015,552.0,5411388.0,2730237378798.0,10.20071005812187,504535.505271106
female,Belgium,2016,552.0,5411388.0,2730237378798.0,10.20071005812187,504535.505271106
female,Bulgaria,1985,422.0,4231000.0,102932526318.0,9.974001418104468,24328.17922902387
female,Bulgaria,1986,433.0,4230700.0,121495764708.0,10.234712931666154,28717.65067435649
female,Bulgaria,1987,429.0,4243200.0,168606000000.0,10.11029411764706,39735.57692307692
female,Bulgaria,1988,427.0,4254300.0,135335647056.0,10.036903838469312,31811.49591143079
female,Bulgaria,1989,419.0,4264900.0,131930666664.0,9.824380407512486,30934.058633027737
female,Bulgaria,1990,403.0,4276100.0,123792545454.0,9.424475573536634,28949.87148429644
female,Bulgaria,1991,383.0,4286600.0,65661290322.0,8.934820137171652,15317.80206270704
female,Bulgaria,1992,411.0,4098100.0,62103092784.0,10.029037846807057,15154.118441228862
female,Bulgaria,1993,447.0,4082700.0,64978260870.0,10.948636931442428,15915.512006760233
female,Bulgaria,1994,416.0,4084700.0,58184501844.0,10.184346463632581,14244.498211374152
female,Bulgaria,1995,413.0,4083800.0,78380535714.0,10.113129928008227,19193.039745824968
female,Bulgaria,1996,415.0,4077600.0,60657672852.0,10.177555424759662,14875.827165979988
female,Bulgaria,1997,463.0,4066800.0,67173672630.0,11.38487262712698,16517.57466066686
female,Bulgaria,1998,448.0,4053500.0,87785957736.0,11.052177130874552,21656.82934155668
female,Bulgaria,1999,342.0,4040600.0,80970452196.0,8.464089491659655,20039.215016581697
female,Bulgaria,2000,382.0,4025070.0,78918099186.0,9.490518177323624,19606.640179177008
female,Bulgaria,2001,363.0,3903375.0,84453700734.0,9.299644538380248,21636.071536554904
female,Bulgaria,2002,336.0,3882319.0,97658738568.0,8.654621116914916,25154.7434839847
female,Bulgaria,2003,292.0,3859538.0,125896115886.0,7.5656723680399045,32619.478260351367
female,Bulgaria,2004,267.0,3839994.0,155747825532.0,6.953135864274787,40559.392939676465
female,Bulgaria,2005,255.0,3821459.0,177819706500.0,6.6728440629612935,46531.889129256655
female,Bulgaria,2006,225.0,3801651.0,204780734946.0,5.9184812072439055,53866.26361704428
female,Bulgaria,2007,239.0,3780854.0,266468859342.0,6.321323171960621,70478.48431650628
female,Bulgaria,2008,245.0,3760046.0,326454830988.0,6.515877731283075,86822.03116344853
female,Bulgaria,2009,206.0,3737231.0,311306888460.0,5.512102409511213,83298.80825134974
female,Bulgaria,2010,210.0,3708966.0,303660349260.0,5.661955380556199,81871.96896924911
female,Bulgaria,2011,158.0,3642960.0,344510487024.0,4.337132441750664,94568.83606298175
female,Bulgaria,2012,199.0,3581679.0,323418134034.0,5.556053459843833,90297.91168722825
female,Bulgaria,2013,148.0,3562523.0,334552524432.0,4.15435914378658,93908.87425344341
female,Bulgaria,2014,172.0,3545030.0,340391941392.0,4.851863030778301,96019.4811869011
female,Bulgaria,2015,172.0,3545030.0,340391941392.0,4.851863030778301,96019.4811869011
female,Bulgaria,2016,172.0,3545030.0,340391941392.0,4.851863030778301,96019.4811869011
female,Croatia,1985,242.0,2327300.0,134325371070.0,10.398315644738538,57717.25650754093
female,Croatia,1986,242.0,2327300.0,134325371070.0,10.398315644738538,57717.25650754093
female,Croatia,1987,242.0,2327300.0,134325371070.0,10.398315644738538,57717.25650754093
female,Croatia,1988,242.0,2327300.0,134325371070.0,10.398315644738538,57717.25650754093
female,Croatia,1989,242.0,2327300.0,134325371070.0,10.398315644738538,57717.25650754093
female,Croatia,1990,242.0,2327300.0,134325371070.0,10.398315644738538,57717.25650754093
female,Croatia,1991,242.0,2327300.0,134325371070.0,10.398315644738538,57717.25650754093
female,Croatia,1992,242.0,2327300.0,134325371070.0,10.398315644738538,57717.25650754093
female,Croatia,1993,242.0,2327300.0,134325371070.0,10.398315644738538,57717.25650754093
female,Croatia,1994,242.0,2327300.0,134325371070.0,10.398315644738538,57717.25650754093
female,Croatia,1995,242.0,2327300.0,134325371070.0,10.398315644738538,57717.25650754093
female,Croatia,1996,263.0,2201200.0,142068076182.0,11.948028348173724,64541.19397692168
female,Croatia,1997,254.0,2239700.0,142932522318.0,11.340804572040899,63817.708763673705
female,Croatia,1998,284.0,2204700.0,152592866436.0,12.881571188823877,69212.53070077562
female,Croatia,1999,273.0,2233900.0,140321673582.0,12.220779802139754,62814.662062760195
female,Croatia,2000,234.0,2147300.0,130645642992.0,10.897406044800448,60841.82135332743
female,Croatia,2001,225.0,2175216.0,139738026612.0,10.34380033982832,64240.98876249531
female,Croatia,2002,230.0,2194500.0,161270995236.0,10.480747322852586,73488.71963362953
female,Croatia,2003,193.0,2198700.0,207948680982.0,8.777914222040296,94578.01472779369
female,Croatia,2004,226.0,2200400.0,249447184896.0,10.27085984366479,113364.47232139611
female,Croatia,2005,223.0,2203188.0,272498151012.0,10.12169637815747,123683.56718173846
female,Croatia,2006,223.0,2201440.0,302721467388.0,10.129733265498947,137510.66001707973
female,Croatia,2007,198.0,2198361.0,360559336254.0,9.006709998949217,164012.79692188863
female,Croatia,2008,184.0,2194947.0,422888708694.0,8.382890338582207,192664.6560003499
female,Croatia,2009,172.0,2189223.0,376218858342.0,7.856668781572274,171850.40461478799
female,Croatia,2010,192.0,2182036.0,358977446346.0,8.799121554364822,164514.90550385055
female,Croatia,2011,182.0,2173782.0,374250266658.0,8.37250469458299,172165.50079906816
female,Croatia,2012,180.0,2104950.0,339392851650.0,8.551272001710254,161235.58832751372
female,Croatia,2013,146.0,2099472.0,348515136114.0,6.954129419206352,166001.32610199135
female,Croatia,2014,186.0,2091949.0,345777112836.0,8.891230139931709,165289.45630892532
female,Croatia,2015,197.0,2077384.0,296553081666.0,9.483080643732695,142753.13647645307
female,Croatia,2016,168.0,1864505.0,256692624155.0,9.010434404842036,137673.3364378213
female,Denmark,1985,319.0,2476300.0,936973870392.0,12.882122521503856,378376.5579259379
female,Denmark,1986,319.0,2476300.0,936973870392.0,12.882122521503856,378376.5579259379
female,Denmark,1987,319.0,2476300.0,936973870392.0,12.882122521503856,378376.5579259379
female,Denmark,1988,319.0,2476300.0,936973870392.0,12.882122521503856,378376.5579259379
female,Denmark,1989,319.0,2476300.0,936973870392.0,12.882122521503856,378376.5579259379
female,Denmark,1990,319.0,2476300.0,936973870392.0,12.882122521503856,378376.5579259379
female,Denmark,1991,319.0,2476300.0,936973870392.0,12.882122521503856,378376.5579259379
female,Denmark,1992,319.0,2476300.0,936973870392.0,12.882122521503856,378376.5579259379
female,Denmark,1993,319.0,2476300.0,936973870392.0,12.882122521503856,378376.5579259379
female,Denmark,1994,319.0,2476300.0,936973870392.0,12.882122521503856,378376.5579259379
female,Denmark,1995,299.0,2483000.0,1110041767812.0,12.041884816753926,447056.69263471605
female,Denmark,1996,261.0,2495900.0,1125794402196.0,10.457149725549902,451057.4951704796
female,Denmark,1997,257.0,2505300.0,1041225528048.0,10.258252504690057,415609.1198850437
female,Denmark,1998,216.0,2514700.0,1061952005730.0,8.58949377659363,422297.6918638406
female,Denmark,1999,199.0,2523761.0,1067791347726.0,7.885057261761316,423095.2723835577
female,Denmark,2000,195.0,2534615.0,984952802760.0,7.693476129510794,388600.55778096477
female,Denmark,2001,220.0,2543703.0,988748498100.0,8.648808449728604,388704.38022835215
female,Denmark,2002,185.0,2554260.0,1071810961782.0,7.24280222060401,419617.0169763454
female,Denmark,2003,153.0,2561320.0,1308575982510.0,5.973482423125576,510899.0608397233
female,Denmark,2004,192.0,2569012.0,1508238220026.0,7.473690274704828,587088.8185909602
female,Denmark,2005,174.0,2576916.0,1586803848654.0,6.75225734948287,615776.3189230848
female,Denmark,2006,178.0,2585988.0,1697309477364.0,6.883249264884447,656348.5512554583
female,Denmark,2007,180.0,2596281.0,1916540220804.0,6.932993770705097,738186.7451188836
female,Denmark,2008,185.0,2609669.0,2120166336480.0,7.089021634544458,812427.2988183559
female,Denmark,2009,145.0,2624271.0,1927448376204.0,5.5253439907692465,734470.0208949457
female,Denmark,2010,158.0,2636923.0,1931972102082.0,5.991832146786235,732661.5536676649
female,Denmark,2011,152.0,2649570.0,2064019258176.0,5.736779930328318,779001.5957970539
female,Denmark,2012,167.0,2661672.0,1962893399772.0,6.274251673384248,737466.2992930759
female,Denmark,2013,160.0,2675692.0,2061506313564.0,5.979761497212683,770457.255006929
female,Denmark,2014,160.0,2693368.0,2117961799326.0,5.9405175972982525,786361.8337063483
female,Denmark,2015,174.0,2711902.0,1807790789166.0,6.416161055967362,666613.6125737582
female,Denmark,2016,174.0,2711902.0,1807790789166.0,6.416161055967362,666613.6125737582
female,Estonia,1985,128.0,732405.0,26241990876.0,17.47666932912801,35829.89039670674
female,Estonia,1986,128.0,732405.0,26241990876.0,17.47666932912801,35829.89039670674
female,Estonia,1987,128.0,732405.0,26241990876.0,17.47666932912801,35829.89039670674
female,Estonia,1988,128.0,732405.0,26241990876.0,17.47666932912801,35829.89039670674
female,Estonia,1989,128.0,732405.0,26241990876.0,17.47666932912801,35829.89039670674
female,Estonia,1990,128.0,732405.0,26241990876.0,17.47666932912801,35829.89039670674
female,Estonia,1991,128.0,732405.0,26241990876.0,17.47666932912801,35829.89039670674
female,Estonia,1992,128.0,732405.0,26241990876.0,17.47666932912801,35829.89039670674
female,Estonia,1993,128.0,732405.0,26241990876.0,17.47666932912801,35829.89039670674
female,Estonia,1994,128.0,732405.0,26241990876.0,17.47666932912801,35829.89039670674
female,Estonia,1995,128.0,732405.0,26241990876.0,17.47666932912801,35829.89039670674
female,Estonia,1996,112.0,725418.0,28476658602.0,15.439374264217319,39255.51695987693
female,Estonia,1997,91.0,720048.0,30397442514.0,12.63804635246539,42215.8557679488
female,Estonia,1998,81.0,715181.0,33702655470.0,11.325804236969383,47124.65161965992
female,Estonia,1999,93.0,710815.0,34361387988.0,13.083573081603513,48340.83128240119
female,Estonia,2000,88.0,715455.0,34114648854.0,12.299865120797255,47682.45222131371
female,Estonia,2001,86.0,711200.0,37470418404.0,12.092238470191226,52686.19010686164
female,Estonia,2002,72.0,706835.0,43932417066.0,10.186252802987967,62153.70923341374
female,Estonia,2003,66.0,702060.0,59003224254.0,9.400905905478163,84042.9938381335
female,Estonia,2004,59.0,697335.0,72355207452.0,8.460782837517119,103759.60973133429
female,Estonia,2005,53.0,692660.0,84036529782.0,7.6516617099298365,121324.35795628447
female,Estonia,2006,56.0,687665.0,101781750096.0,8.143500105429242,148010.65939956228
female,Estonia,2007,46.0,683390.0,133422370380.0,6.731149124218967,195236.05902925122
female,Estonia,2008,53.0,679985.0,145164235536.0,7.794289579917204,213481.52611601725
female,Estonia,2009,49.0,676875.0,117914955822.0,7.239150507848569,174204.92088199445
female,Estonia,2010,42.0,673735.0,116945618094.0,6.2339050220042,173578.0656994219
female,Estonia,2011,40.0,670591.0,139021439406.0,5.964887688620933,207311.8180918026
female,Estonia,2012,47.0,670869.0,138263187060.0,7.0058386957811445,206095.65661850525
female,Estonia,2013,47.0,665983.0,150822918894.0,7.0572371967452625,226466.6198596661
