,year,country,gdp_per_capita,suicides_per_100k,unemployment_rate
160,2000,Italy,21027.0,7.565524384211804,10.84
161,2000,Luxembourg,51841.0,15.115904857569166,2.35
162,2000,Malta,11873.0,6.341748557941524,6.32
163,2000,Netherlands,27644.0,10.051405472424428,2.73
164,2000,Norway,41099.0,12.978865560784154,3.46
165,2000,Romania,1758.0,13.320557622214707,6.97
166,2000,Russian Federation,1879.0,40.967197480537976,10.58
167,2000,Spain,15538.0,8.856994661481698,13.79
168,2000,Sweden,30896.0,13.449862338102186,5.47
169,2000,United Kingdom,29358.0,7.642439438878201,5.56
170,2001,Austria,25848.0,19.50341604493252,4.01
171,2001,Belgium,24494.0,22.296475148698956,6.18
172,2001,Finland,26383.0,24.57652945519509,10.29
173,2001,Germany,24874.0,14.239714882321708,7.77
174,2001,Greece,13043.0,3.198765238309447,10.46
175,2001,Hungary,5546.0,30.686484901280814,5.67
176,2001,Iceland,30850.0,13.649910138091592,1.87
177,2001,Italy,21392.0,7.417108202394073,9.6
178,2001,Luxembourg,51391.0,17.635832145531854,1.81
179,2001,Malta,11691.0,8.096270048388707,7.11
180,2001,Netherlands,28366.0,9.80161569726759,2.12
181,2001,Norway,41281.0,13.024592756096352,3.74
182,2001,Romania,1914.0,12.786228780324926,6.56
183,2001,Russian Federation,2229.0,41.41752109482743,8.98
184,2001,Spain,16169.0,8.237435702022735,10.35
185,2001,Sweden,28429.0,14.18361225203414,4.73
186,2001,United Kingdom,29179.0,7.428202188105796,4.7
187,2002,Austria,27772.0,20.21303208236401,4.85
188,2002,Belgium,26526.0,21.273608735706155,6.91
189,2002,Finland,28390.0,22.27595576056216,10.42
190,2002,Germany,26441.0,14.212722927913504,8.48
191,2002,Greece,14676.0,3.081459772401282,9.97
192,2002,Hungary,6995.0,29.32801551709248,5.61
193,2002,Iceland,34556.0,11.258936781069975,2.99
194,2002,Italy,23227.0,7.462379721165587,9.21
195,2002,Luxembourg,56484.0,20.32977283272663,2.62
196,2002,Malta,12524.0,5.074027389065738,6.9
197,2002,Netherlands,30757.0,10.376516871621602,2.55
198,2002,Norway,46049.0,11.640815337787478,4.02
199,2002,Romania,2231.0,14.816009986193622,8.11
200,2002,Russian Federation,2527.0,40.28379635832256,7.88
201,2002,Spain,17924.0,8.571295448359965,11.15
202,2002,Sweden,31175.0,13.938388542739116,4.97
203,2002,United Kingdom,31630.0,7.363759186723327,5.04
204,2003,Austria,33889.0,18.85513827770485,4.78
205,2003,Belgium,32538.0,21.32776397519329,7.68
206,2003,Finland,34701.0,21.805910760882263,10.47
207,2003,Germany,31816.0,14.163917294353793,9.78
208,2003,Greece,19202.0,3.5661082775078894,9.41
209,2003,Hungary,8840.0,29.007929835619315,5.79
210,2003,Iceland,42174.0,9.689561361010696,4.0
211,2003,Italy,28572.0,7.417510457779621,8.87
212,2003,Luxembourg,69768.0,11.330000424875015,3.68
213,2003,Malta,14444.0,5.29401643792104,7.49
214,2003,Netherlands,37614.0,9.879371037933169,3.59
215,2003,Norway,53533.0,11.747845370272428,4.22
216,2003,Romania,2898.0,14.009886603668004,6.95
217,2003,Russian Federation,3141.0,37.54564994910081,8.21
218,2003,Spain,22701.0,8.70641498068117,11.28
219,2003,Sweden,38997.0,13.096930595336763,5.55
220,2003,United Kingdom,36289.0,7.083629248577546,4.81
221,2004,Austria,38711.0,18.29384782528989,5.83
222,2004,Belgium,37661.0,20.17664054771608,7.36
223,2004,Finland,39793.0,21.517706099278733,10.36
224,2004,Germany,35772.0,13.628667397504644,10.73
225,2004,Greece,22804.0,3.346831271350271,10.31
226,2004,Hungary,10806.0,28.473390152734503,5.83
227,2004,Iceland,50528.0,12.887167326980572,4.03
228,2004,Italy,32704.0,7.248833730667382,7.87
229,2004,Luxembourg,80639.0,14.414313878659376,5.11
230,2004,Malta,15916.0,6.300568626318524,7.32
231,2004,Netherlands,42614.0,9.917553946023745,4.65
232,2004,Norway,61450.0,12.296720564579866,4.26
233,2004,Romania,3698.0,13.196985827844252,7.72
234,2004,Russian Federation,4312.0,35.81775111724558,7.76
235,2004,Spain,26372.0,8.64980597237541,11.09
236,2004,Sweden,44831.0,13.565391175378313,6.69
237,2004,United Kingdom,42486.0,7.409439704121216,4.59
238,2005,Austria,40367.0,17.872973113503857,5.63
239,2005,Belgium,39124.0,20.49285053025882,8.44
240,2005,Finland,41202.0,20.03311712077753,8.38
241,2005,Germany,36289.0,13.024523363953096,11.17
242,2005,Greece,23414.0,3.779712318536012,9.99
243,2005,Hungary,11764.0,27.25585946341861,7.19
